Organization,Title,"Addressee (First Name, Last Name)","Additional Info (Addressee Job Title, Dept, Etc.)","Civic Address 1 (Apt/Suite #, Building #, Street Name)","Civic Address 2 (PO Box #/RR #, or GD (General Delivery) and STN ID)",Municipality,Province or Territory,Postal Code,Phone,Website
Bulkley Valley Community Foundation,Ms.,Ms. Geri Britton,Executive Director,,P.O. Box 4584,Smithers,BC,V0J 2N0,250-847-3310,www.bvcf.ca
Campbell River Community Foundation,,,,#201-990 Cedar St,Box 734,Campbell River,BC,V9W 6J3,(250) 923-5575,www.crfoundation.ca
Central Okanagan Foundation,Mr.,Bruce Davies,Executive Director,"Landmark 1, 306-1726 Dolphin Avenue",,Kelowna,BC,V1Y 9R9,250-861-6160,www.centralokanaganfoundation.org
Clayoquot Biosphere Trust,Ms.,Rebecca Hurwitz,Executive Director,,PO Box 67,Tofino,BC,V0R2Z0,250-725-2219,www.clayoquotbiosphere.org
Columbia Valley Community Foundation,Ms.,Laurie Klassen,Executive Director,651 Highway 93&95,Box 991,Invermere,BC,V0A 1K0,250-342-2845,www.valleyfoundation.ca
Community Foundation of Castlegar & District,Mr.,Robert Jackson,President,250 - 2nd Street,,Castlegar,BC,V1N 1Y4,250-365-6113,
Community Foundation of the Kootenay Rockies,Ms.,Lynnette Wray,Executive Director,801 B Baker Street,,Cranbrook,BC,V1C 1A3,250-426-1119,www.cranbrookcf.ca
Community Foundation of the North Okanagan,Ms.,Leanne Hammond,Executive Director,304 - 3402 - 27th Avenue,,Vernon,BC,V1T 1S1,250-542-8677,www.cfno.org
Community Foundation of the South Okanagan,Mr.,Aaron McRann,Executive Director,"390 Main Street, 2nd Floor",,Penticton,BC,V2A 5C3,250-493-9311,www.cfso.net
Community Foundation of Whistler,Ms.,Carol Coffey,Executive Director,,PO Box 1184,Whistler,BC,V0N 1B0,604-935-8080,www.whistlerfoundation.com
Comox Valley Community Foundation,Mr.,Norm Carruthers,President,,Box 3126,Courtenay,BC,V9N 5N4,250-338-8444,www.cvcfoundation.org
Coquitlam Foundation,Mr.,Dwight Yochim,,1207 Pinetree Way,Box 2,Coquitlam,BC,V3B 7Y3,604-927-3006,www.coquitlamfoundation.com
Creston – Kootenay Foundation,Ms.,Heather Suttie,Chair,,Box 701,Creston,BC,V0B 1G0,250-223-8004,www.ckfoundation.com
Delta Foundation,Mr.,Peter Roaf,President,,P.O. Box 18527,Delta,BC,V4K 4V7,604-839-1465,www.deltafoundation.org
Golden & District Community Foundation,Mr.,Ryan Watmough,Executive Director,,Box 1485,Golden,BC,V0A 1H0,250-344-8610,www.goldencommunityfoundation.ca
Gwaii Trust,Mr.,Errol Winter,Executive Director,162 Raven Avenue,PO Box 588,Masset,BC,V0T 1M0,1-800-663-2388,www.gwaiitrust.com/index.html
Kimberley and District Community Foundation,Mr.,Terry Oscarson,Chair,42-101st Avenue,,Kimberley,BC,V1A 1A3,250-427-4008,kimberleyfoundation.ca
Kitimat Community Foundation,,,,c/o 1515 Kingfisher Avenue,,Kitimat,BC,V8C 1S5,250-632-3144,www.kitimatcommunityfoundation.ca
LeRoi Community Foundation,Ms.,Janice McGregor,,,Box 3,Trail,BC,V1R 2N3,250-368-1443,leroifoundation.com
Maple Ridge Community Foundation,Ms.,Jacquie Montgomery,Executive Assistant,,P.O. Box 370,Maple Ridge,BC,V2X 8K9,604-466-3312,www.mrcf.ca
Mission Community Foundation,Ms.,Angie Hetlinger,Office Manager,,P.O. Box 3427,Mission,BC,V2V 4J5,604-826-5322,www.missioncommunityfoundation.org
Nakusp and Area Community Foundation,Mr.,Randy Thiessan,Board Chair,,P.O. Box 15,Nakusp,BC,V0G 1R0,250-265-3322,www.nacf.kics.bc.ca
Nanaimo Foundation,Ms.,Laurie Bienert,Executive Director,205-75 Front Street,,Nanaimo,BC,V9R 5H9,250-667-4292,www.nanaimofoundation.com
North Shore Community Foundation,Mr.,Michael Boehm,President,,PO Box 37104 Lonsdale,North Vancouver,BC,V7M 4N0,604-998-4460,www.nscommunityfoundation.com
North Thompson Communities Foundation,Ms.,Susan Garland,Secretary,,P.O. Box 121,Clearwater,BC,V0E 1N0,250-674-3260,ntcommunitiesfoundation.com
Northeast Regional Community Foundation,Ms.,Sue Kenney,,904 102nd  Avenue,,Dawson Creek,BC,V1G 2B7,250-782-8748,
Osprey Community Foundation,Ms.,Tina Choi,,"Suite B8, 625 Front Street",,Nelson,BC,V1L 4B6,250-352-3643,www.ospreycommunityfoundation.ca
Parksville-Qualicum Foundation,Ms.,Florence Gray,Secretary,101 - 691 Beach Rd,,Qualicum Beach,BC,V9K 0A7,250-752-7202,www.parksvillequalicumfoundation.com
Phoenix Foundation of the Boundary Communities,Ms.,Myrna Logan,,,P.O. Box 1012,Grand Forks,BC,V0H 1H0,250-442-3190,www.phoenix-foundation.ca
Pitt Meadows Community Foundation,Mr.,Terry Becker,Board Chair,,P.O. Box 31741,Pitt Meadows,BC,V3Y 2H1,604-465-4772,www.pmcfoundation.org
Port Coquitlam Community Foundation,Ms.,Karen Grommada,,2580 Shaughnessy Street,,Port Coquitlam,BC,V3C 2A8,604 927 5305,portcoquitlam.ca
Port Moody Foundation,Mr.,Robert Simons,President,300 Ioco Road,,Port Moody,BC,V3H 2V7,604-469-4699,www.portmoodyfoundation.bc.ca
Powell River Community Foundation,Ms.,Sharon Sawyer,Secretary,,P.O. Box 335,Powell River,BC,V8A 5C1,604-483-8678,www.prcommunityfoundation.com
Prince Rupert Regional Community Foundation,,,,,P.O. Box 66,Prince Rupert,BC,V8J 3P4,250-624-4255,www.prfoundation.ca
Quesnel Community Foundation,Mr.,Alex Coffey,President,"Quesnel, BC",P.O. Box 4158,Quesnel,BC,V2J 3J2,250-992-6190,www.quesnelfoundation.ca
Revelstoke Community Foundation,Ms.,Stacie Byrne,,"Suite D, 301 Victoria St. West",,Revelstoke,BC,V0E 2S0,250-837-5345,www.revelstokecommunityfoundation.com
Richmond Community Foundation,Mr.,Ed Gavsie,Executive Director,#190 - 7000 Minoru Blvd.,,Richmond,BC,V6Y 3Z5,604-279-7020,www.richmondfoundation.org
Salt Spring Island Foundation,,Kisae Peterson,Operations Director,Ganges P.O.,Box 244,Salt Spring Island,BC,V8K 2V9,250-537-8305,www.ssifoundation.ca
Shuswap Community Foundation,Mr.,David Wood,,450 Lakeshore Drive NE,Box 624,Salmon Arm,BC,V1E 4P9,250-832-5428,www.shuswapfoundation.ca
Squamish Community Foundation,Ms.,Ashley Oakes,Foundation Manager,,Box 555,Squamish,BC,V8B 1A0,604-815-5151,www.squamishfoundation.com
Sunshine Coast Community Foundation,Ms.,Wendy Francis,,,PO Box 1343,Sechelt,BC,V0N 3A0,604-741-7360,www.sccfoundation.com
SurreyCares,Ms.,Karen Roberts,Administrative Assistant,,P.O. Box 34089,Surrey,BC,V3S 8C4,604-591-2699,www.surreycares.org
The Prince George Community Foundation,Ms.,Cindy Storizinski,Executive Director,"Coast Inn of the North, 770 Brunswick Street Prince",,Prince George,BC,V2L 2C2,250-562-7772,www.pgcf.ca
Thetis Island Community Fund,Ms.,Tricia Hunter,,,PO box 12-14,Thetis Island,BC,V0R 2Y0,(250) 416-0013,www.thetisislandcommunityfund.org
Vancouver Foundation,Mr.,Kevin McCort,President and CEO,200 – 475 West Georgia Street,,Vancouver,BC,V6B 4M9,604-688-2204,www.vancouverfoundation.ca
Victoria Foundation,Ms.,Sandra Richardson,CEO,200 - 703 Broughton Street,,Victoria,BC,V8W 1E2,250 381-5532,www.victoriafoundation.bc.ca
West Vancouver Community Foundation,,Adine Mees,Executive Director,775 15th Street,,West Vancouver,BC,V7T 2S9,604-925-8153,www.westvanfoundation.com
Beautiful Plains Community Foundation Inc.,Ms.,Brenda Kryschuk,Executive Director,,Box 486,Neepawa,MB,R0J 1H0,204-476-2681,www.mts.net/~bpcfinc/index.html
Big Grass Community Foundation Inc.,Ms.,Robin Richardson,Board Chair,,Box 497,Gladstone,MB,R0J 0T0,204-385-2456,
Birtle and District Foundation,Ms.,Eleanor Dnistransky,Secretary/Treasurer,684 Main Street,,Birtle,MB,R0R 0C0,204-842-3602,
Brandon Area Community Foundation Inc.,Ms.,Laura Kempthorne,General Manager,Downtown Postal Outlet,Box 22096,Brandon,MB,R7A 6Y9,204-571-0529,www.bacf.ca
Brokenhead River Community Foundation Inc.,Ms.,Carol Boychuk,,,P.O. Box 2225,Beausejour,MB,R0E 0C0,204-268-2235,www.brcfoundation.com
Carberry and Area Community Foundation Inc.,Ms.,Teresa McConnell,Executive Director,,Box 807,Carberry,MB,R0K 0H0,204-834-3155,www.manitobacommunityfoundations.ca/carberry
Coldwell Community Foundation,Ms.,Irene Runolfson,Treasurer,,P.O. Box 154,Lundar,MB,R0C 1Y0,204-762-5727,
Community Foundation of Portage and District Inc.,Ms.,Mandy Dubois,Executive Director,206 Saskatchewan Ave E,,Portage la Prairie,MB,R1N 0K9,204-856-1971,www.cfpdi.ca
Community Foundation of Swan Valley Inc.,Ms.,Donna Martin,Executive Director,,Box 1509,Swan River,MB,R0L 1Z0,204-734-3289,cfswanvalley.ca
Cypress River & Area Foundation Inc.,Mr.,Neil Young,,,P.O. Box 112,Cypess River,MB,R0K 0P0,2047432245,
Dauphin & District Community Foundation,Ms.,Linda VanBuekenhout,Assistant,,Box 6,Dauphin,MB,R7N 2T9,204-638-4598,www.dauphincommunityfoundation.ca
Elkhorn & Area Foundation,Ms.,Brenda Orr,Chairperson,,P.O. Box 25,Elkhorn,MB,R0M 0N0,204-845-2382,www.elkhornandareafoundation.ca
Francofonds – La Fondation Communautaire du Manitoba Francais,,,,"205, boulevard Provencher, bureau 101",,Winnipeg,MB,R2H 0G4,04-237-5852,www.francofonds.org
Grandview & District Community Foundation,Ms.,Jennifer Carniel,,,Box 238,Grandview,MB,R0L 0Y0,204-546-3030,
Hamiota Community Foundation,Mr.,Tristan Urquhart,,,Box 100,Hamiota,MB,R0M 0T0,204-764-3050 x 102,
Headingley Community Foundation,,,,5353 Portage Avenue,,Headingley,MB,R4H 1J9,204-889-3132  Ext. 2,www.headingleyfoundation.ca
Holland & Area Community Foundation Inc.,Mr.,Allan Steinke,Board Chair,,Box 87,Holland,MB,R0G 0X0,204-526-2717,
Icelandic River Community Foundation,Ms.,Pat McCallum,Executive Director,,Box 159,Arborg,MB,R0C 0A0,204-376-5742,
Lac du Bonnet and District Foundation,Mr.,John Barnard,President,,P.O. Box 744,Lac du Bonnet,MB,R0E 1A0,204-345-2118,lacdubonnetfoundation.ca
Living Legacy Community Foundation,Ms.,Sandie Ross,Secretary-Treasurer,,Box 1343,Russell,MB,R0J 1W0,,www.livinglegacymanitoba.ca
Miami and Area Foundation Inc.,Ms.,Shelley Bartley,Treasurer,,Box 334,Miami,MB,R0G 1H0,204-435-2473,
Minnedosa & District Foundation Inc.,Ms.,Maxine Laws,Secretary,,P.O.Box 1980,Minnedosa,MB,R0J 1E0,(204) 867-2126,
Morden Area Foundation Inc.,Ms.,Lynda MacLean,Executive Director,311 North Railway St.,,Morden,MB,R6M 1S9,204-822-5614,www.mordenfoundation.ca
North Norfolk – MacGregor Foundation Inc.,Ms.,Karen Guth,,,Box 696,MacGregor,MB,R0H 0R0,204-871-0702,northnorfolk.ca/North_NorfolkMacGregor_Foundation.aspx
"Northern Neighbours Foundation, Inc.",Ms.,Betty Kendall,Executive Director,230-35 Main Street,Box 802,Flin Flon,MB,R8A 1N6,204-687-5715,www.manitobacommunityfoundations.ca/northernneighbours
Oak Lake & Area Foundation Inc.,Ms.,Marsha Patterson,treasurer,,Box 133,Oak Lake,MB,R0M 1P0,204-855-2808,
Pembina – Manitou Area Foundation Inc.,Ms.,Diana Vodden,,,P.O. Box 535,Manitou,MB,R0G 1G0,204-242-2669,
Pilot Mound & District Foundation Inc.,Ms.,Joanne Harris,Executive Director,,PO Box 235,Pilot Mound,MB,R0G 1P0,205-825-2647,www.pilotmound.com/organizations/foundation.shtml
Pinawa Community Foundation Inc.,Mr.,Chris Saunders,,,P.O. Box 100,Pinawa,MB,R0E 1L0,1-204-753-2446,pinawafoundation.org
Plum Coulee Community Foundation,Ms.,Heather Unger,Board Chair,,Box 38,Plum Coulee,MB,R0G 1R0,204-829-3243,rmofrhineland.com/mobile/detailSub.aspx
Reston and Area Foundation Inc.,Ms.,Brenda Ellis-Anderson,Treasurer,,Box 515,Reston,MB,R0M 1X0,204-877-3318,rmofpipestone.com
Rivers and Area Community Foundation Inc.,Ms.,Donna Morken,Chair,,P.O. Box 714,Rivers,MB,R0K 1X0,204-328-7841,www.riversareacommunityfoundation.org
Roblin District Community Foundation,Ms.,Alison Wallace,Executive Director,,P.O. Box 1599,Roblin,MB,R0L 1P0,204-937-4241,www.roblinmanitoba.com/index.php
Selkirk & District Community Foundation,Ms.,Bev Clegg,Executive Director,200 Eaton Avenue,,Selkirk,MB,R1A 0W6,204-785-9755,www.sdcf.ca
Shoal Lake Community Foundation,Ms.,Debbie Wowryk,,,Box 323,Shoal Lake,MB,R0J 1Z0,204-759-3343,
Souris Glenwood Foundation Inc.,Mr.,Greg Harasymchuk,Board member,100 Second Street South,P.O. Box 518,Souris,MB,R0K 2C0,204-483-2050,
Sturgeon Community Foundation Inc.,Ms.,Carmen Stewart,,115 Waddell Avenue,Box 66,Dominion City,MB,R0A 0H0,204-427-2481,
The Altona Community Foundation Inc.,Mr.,John Teichroeb,,,P.O. Box 2076,Altona,MB,R0G 0B0,204-324-8653,www.altonacommunityfoundation.com
The Boissevain and Morton Foundation Incorporated,Ms.,Raylene Conway-Smith,Executive Director,,P.O. Box 1075,Boissevain,MB,R0K 0E0,204-534-6584,www.boissevain.ca/community/foundation.htm
The Carman Area Foundation Inc.,Mr.,Brian Morrison,Executive Director,,PO Box 160,Carman,MB,R0G 0J0,204-745-3993,www.carmanareafoundation.com
The Cartwright and Area Foundation Inc.,Ms.,Barb Bramwell,Treasurer,,Box 396,Cartwright,MB,R0K 0L0,204-529-5600,www.cartwrightroblin.ca/node/8
The Glenboro Area Foundation Inc.,Ms.,Lorelie Mitchell,Secretary-Treasurer,,P.O. Box 147,Glenboro,MB,R0K 0X0,204-827-2548,
The Interlake Community Foundation Inc.,Ms.,Tracy Holod,,,P.O. Box 1575,Stonewall,MB,R0C 2Z0,204-467-5634,www.interlakefoundation.ca
The Killarney Foundation Inc.,Ms.,Jacqueline Mitchell,Treasurer,415 Broadway Avenue,,Killarney,MB,R0K 1G0,204-523-4671,killarneyfoundation.com
The Morris Area Foundation Inc.,Ms.,Midge Anderson,,,Box 811,Morris,MB,R0G 1K0,204-746-2179,
The Southwest Manitoba Regional Foundation,Ms.,Donna Todd,Chair,,Box 338,Deloraine,MB,R0M 0M0,204-747-2848,
The Steinbach Community Foundation Inc.,Mr.,Troy Warkentin,Board Member,,P.O. Box 2044,Steinbach,MB,R5G 1B1,204-326-9877,
The Winnipeg Foundation,Mr.,Richard Frost,Chief Executive Officer,1350 - One Lombard Place,,Winnipeg,MB,R3B 0X3,204-944-9474,www.wpgfdn.org
Thompson Community Foundation,Ms.,Tammy Cober,Executive Assistant,,P.O. Box 1074,Thompson,MB,R8N 1N9,204-677-1908,www.ourfoundationthompson.ca
Tiger Hills Community Foundation Inc.,Ms.,Marg Groening,,,Box 342,Treherne,MB,R0G 2V0,204-723-2312,
Virden Area Foundation Inc.,Ms.,Teresa Makarchuk,Community Relations Officer,,P.O. Box 2319,Virden,MB,R0M 2C0,204-748-3419,www.virdenareafoundation.com
Wawanesa Community Foundation Inc.,Mr.,Dean Boyd,Board Chair,106 4th Street,Box 247,Wawanesa,MB,R0K 2G0,204-824-2028,
Westshore Community Foundation Inc.,Mr.,Giuseppe Dalzotto,Treasurer,66 First Avenue,Box 395,Gimli,MB,R0C1B0,204-642-9796,www.westshorefoundation.com
Winkler Community Foundation Inc.,Ms.,Myra Peters,Executive Director,185 Main Street,,Winkler,MB,R6W 1B4,204-362-9292,winklercommunityfoundation.com
Carleton North Community Foundation,Ms.,Lorena Green,Administer,8 McCain Street,,Florenceville - Bristol,NB,E7L 3H6,506-392-6769,cncfdn.ca
Fondation communautaire de la Péninsule acadienne Inc.,Mr.,Jean-Charles Chiasson,Directeur Général,1095-2 Rue du Parc,,Paquetville,NB,E8R 1J1,506-764-3364,www.fondationcompa.com
Fredericton Community Foundation Inc.,Ms.,Kate Rogers,Executive Director,"390 King Street, Suite 201",,Fredericton,NB,E3B 1E3,506-454-2262,www.fredfdn.ca
Fundy Community Foundation,Ms.,Sandy Thurber,Executive Director,,P.O. Box 3902,St. Andrews,NB,E5B 3S7,506-529-4896,www.fcf.nb.ca
Sussex Area Community Foundation Inc.,Ms.,Miriam Verschoor,Executive Director,494 Main Street,,Sussex,NB,E4E 2S4,506-433-6244,www.sacfi.org
The Greater Saint John Community Foundation,Ms.,Kelly Evans,Executive Director,Brunswick Square,P.O. Box 20061,Saint John,NB,E2L 5B2,506-672-8880,www.thecommunityfoundationsj.com
Community Foundation of Newfoundland and Labrador,Mr.,Ainsley Dicks,Executive Director,"209, 31 Peet Street St.",,St. John's,NL,A1B 3W8,709-753-9899,www.cfnl.ca
Yellowknife Community Foundation,,,,4807 - 49th Street,P.O. Box 1620,Yellowknife,NT,X1A 2P2,867-446-4527,www.ykcf.ca
Community Foundation of Nova Scotia,Ms.,Angela Bishop,Executive Director,"1888 Brunswick Street, Suite 806",,Halifax,NS,B3J 3J8,902-490-5907 / 1-877-999-5907,www.cfns-fcne.ca
Rural Communities Foundation of Nova Scotia,Ms.,Jayne Hunter,,,PO Box 1516,Truro,NS,B2N 5V2,1 (800) 255-5203,www.ruralcommunitiesfdn.ca
Ulnooweg Foundation,Mr.,Todd Hoskin,,835 Willow St.,,Truro,NS,B2N 6N8,1-888-766-2376,www.ulnooweg.ca
Aylmer Area Community Foundation,Ms.,Nicole Pressey,,51 Talbot Street East,,Aylmer West,ON,N5H 1H3,519-773-5655,www.aylmerfoundation.on.ca
Barrie Community Foundation,Mr.,Doug Shaw,,36 George Street,,Barrie,ON,L4N 5N3,705-737-5220,www.barriecommunityfoundation.org
Bradford West Gwillimbury and District Community Foundation (BWGDCF),Mr.,Mario Vittiglio,,21 Holland Street West,P.O. Box 190,Bradford,ON,L3Z 2A8,905-775-3381,www.bwgdcf.ca
Brampton and Area Community Foundation,Mr.,James Boyd,Executive Director,150 Main Street North,Box 74027,Brampton,ON,L6V 1N9,905-796-2926,bramptoncaledoncf.ca
Brant Community Foundation,Ms.,Joanne Lewis,Executive Director,30 Brant Avenue,,Brantford,ON,N3T 3G6,519-756-2499,brantcommunityfoundation.ca
Brockville and Area Community Foundation,Mr.,Erik Wang,Treasurer,,P.O. Box 155,Brockville,ON,K6V 5V2,613-498-9970,www.bcfdn.ca
Burlington Community Foundation,Ms.,Colleen Mulholland,President and CEO,"3380 South Service Road, Garden Level, Unit 107",,Burlington,ON,L7N3J5,905-639-0744,www.burlingtonfoundation.org
Caledonia Community Foundation,Ms.,Lindsey Stuckless,Executive Director,103 Inverness Street,,Caledonia,ON,N3W 1B1,905-765-4408,www.caledoniacf.ca
Cambridge & North Dumfries Community Foundation,,,,"135 Thompson Drive, Unit 7",,Cambridge,ON,N1T 2E4,519-624-8972,www.cndfoundation.org
Campbellford/Seymour Community Foundation,Ms.,Martha Murphy,Executive Director,39 Doxsee Avenue North,P.O. Box 1146,Campbellford,ON,K0L 1L0,705-653-2005,www.cscf.ca
Centre Wellington Community Foundation,,,,75 Melville St.,,Elora,ON,N0B 1S0,1-888-713-4083,www.cwcfoundation.ca
Community Foundation for Kingston & Area,Ms.,Tina Bailey,Executive Director,"275 Ontario Street, Suite 100",,Kingston,ON,K7K 2X5,613-546-9696,www.cfka.org
Community Foundation for Lennox and Addington,Mr.,Tom Derreck,Executive Director,47 Dundas Street East,,Napanee,ON,K7R 1H7,613-354-7333,www.ndcf.ca
Community Foundation Grey Bruce,Mr.,Stuart Reid,Executive Director,,P.O. Box 81,Owen Sound,ON,N4K 5P1,519-371-7203,www.communityfoundationgreybruce.com
Community Foundation of Greater Peterborough,Mr.,John Good,Executive Director,261 George Street,,Peterborough,ON,K9J 3G9,705-740-2347,www.cfgp.ca
Community Foundation of Halton North,Ms.,Sue Lawrenson,,"251 Main Street East, Suite L02",,Milton,ON,L9T 1P1,905-864-9211,cfhn.ca
Community Foundation of Mississauga,Ms.,Anne Marie Peirce,President & CEO,"1100 Central Parkway West, Unit 15, Lower Level",,Mississauga,ON,L5C 4E5,905-897-8880,www.cfofm.org
Durham Community Foundation,Ms.,Vivian Curl,Executive Director,701 Rossland Road East,Box 322,Whitby,ON,L1N 9K3,905-430-6507,www.durhamcommunityfoundation.ca
Elgin-St. Thomas Community Foundation,Mr.,Terry Carroll,,,P.O. Box 20150,St. Thomas,ON,N5P 4H4,519-637-8230,www.escf.ca
Fondation Communautaire du Temiskaming,Mr.,Pierre Belanger,Chair,,CP / Box 118,Earlton,ON,P0J 1E0,705-563-2722,
Forest Community Foundation,Ms.,Karen Cameron,Secretary-Treasurer,7883 Amtelecom Parkway,,Forest,ON,N0N 1J0,519-243-1400 ext. 8611,forestcommunityfoundation.ca
Grand Bend Community Foundation,Mr.,David H Campbell,Executive Director,,Box 1150,Grand Bend,ON,N0M 1T0,519-238-2190,www.grandbendcommunityfoundation.ca
Hamilton Community Foundation,Mr.,Terry Cooke,President & CEO,"120 King Street West, Standard Life Building, Suite 700",,Hamilton,ON,L8P 4V2,905-523-5600,www.hamiltoncommunityfoundation.ca
Huronia Community Foundation,,,,248 First Street,,Midland,ON,L4R 0A8,705-427-0339,www.huroniacf.com
Kenora and Lake of the Woods Regional Community Foundation,Ms.,Darlene MacGillivray,Executive Director,,P.O. Box 441,Kenora,ON,P9N 3X4,807-467-4427,www.klwcf.ca
London Community Foundation,Ms.,Martha Powell,CEO,130 King Street,,London,ON,N6A 1C5,519-667-1600,www.lcf.on.ca
Muskoka Community Foundation,Ms.,Lynn DeCaro,,440 Ecclestone Drive,,Bracebridge,ON,P1L 1Z6,705.646.1220,muskokacommunityfoundation.ca
Niagara Community Foundation,Mr.,Brian Rose,Executive Director,"8 Church St., Ste 308",,St. Catharines,ON,L2R 3B3,905-684-8688,www.niagaracommunityfoundation.org
North Bay and Area Community Foundation,Ms.,Kate Merritt,Executive Director,"60 Commerce Crescent, Office W106c",,North Bay,ON,P1B 8G4,705-495-3737,www.nbacf.ca
Oakville Community Foundation,Ms.,Wendy Rinella,CEO,410 North Service Rd. E. Suite 200,,Oakville,ON,L6H 5R2,905-844-3562,www.theocf.org
Ottawa Community Foundation,Mr.,Marco Pagani,President and CEO,"75 Albert Street, Suite 301",,Ottawa,ON,K1P 5E7,613-236-1616,www.ocf-fco.ca
Oxford Community Foundation,Ms.,Louise Wardop,,212 Bysham Park Drive,,Woodstock,ON,N4T 1R2,519-539-7447 ext. 229,oxfordcommunityfoundation.org
Pembroke Petawawa District Community Foundation,Mr.,Matthew Bradley,Board Chair,284 Pembroke Street East,,Pembroke,ON,K8A 6X7,613-735-2341,
Sarnia Community Foundation,Ms.,Jane Anema,Executive Director,110-560 Exmouth St.,,Sarnia,ON,N7T 5P5,519-332-2588,www.sarniacommunityfoundation.ca
Stratford and Perth County Community Foundation,Ms.,Tracy Van Kalsbeek,Executive Director,"55 Lorne Avenue E., Unit 5",,Stratford,ON,N5A 6S4,519-271-1503,www.spccf.ca
Sudbury Community Foundation,Mr.,Brian Koivu,Executive Director,200 – 96 Larch Street,,Sudbury,ON,P3E 1C1,705-673-7770,www.sudburycf.ca
The Chatham Kent Community Foundation,Mr.,Hugh Logan,Executive Director,,P.O. Box 35,Chatham,ON,N7M 5K1,519-351-3348,www.chathamkentcommunityfoundation.ca
The Community Foundation of Orillia and Area,Ms.,Wendy Timpano,,Orillia Station Main,PO Box 622,Orillia,ON,L3V 6K5,705-259-1163,www.communityfoundationorillia.ca
The County Community Foundation,Mr.,Brian Beiles,,103 - 280 Main Street,,Picton,ON,K0K 2T0,613-476-7901 ext 218,www.thecountyfoundation.ca
The Deep River and District Community Foundation,Ms.,Tess Carina,Secretary & Board Member,,P.O. Box 1171,Deep River,ON,K0J 1P0,613-639-2226,drdcf.ncf.ca
The Dufferin Community Foundation,,,,246372 Hockley,,Mono,ON,L9W 6K4,705-770-1096,dufferincommunityfoundation.ca
The Guelph Community Foundation,Mr.,Chris Willard,Executive Director,,PO Box 1311,Guelph,ON,N1H 6N6,519-821-9216,www.guelphcf.ca
The Kitchener and Waterloo Community Foundation,,,,"206 King Street West, Unit 206",,Kitchener,ON,N2G 1B6,519-725-1806,www.kwcf.ca
The Norfolk Community Foundation,Mr.,Mike Fredericks,Chair,,P.O. Box 999,Simcoe,ON,N3Y 5B3,519-426-8593,
